Time;Array length
2055645;9140
2263449;7413
1481727;7731
38229;296
1312631;5181
945151;8702
639522;7288
719394;4746
134621;1167
179882;2169
971707;7675
604296;4845
1038608;9991
371439;3348
59938;733
409600;4904
774758;8209
797491;7452
875042;8557
710246;8052
529271;4507
650649;5726
22118;253
414788;4793
25122;289
341674;2917
252177;2844
467353;5286
1727419;8999
390963;1411
785476;9033
392942;2818
301670;2261
1396121;2564
1156300;6453
752435;6879
405094;4559
1102096;8677
898389;8353
270131;3046
568593;6476
258798;2992
20479;231
376490;4267
359082;4138
283648;2862
714751;8212
333141;3826
308155;3534
582178;6710
467490;5346
118169;1240
832170;8649
606617;7072
71270;843
362973;2952
234700;2430
445371;4302
762675;8968
788616;9079
67583;787
776260;8560
293751;3421
595080;6791
263918;3100
721646;8237
870536;10072
337510;3894
103628;1213
464076;5415
295389;3491
11878;143
64853;760
861661;3254
116053;1282
1170431;6555
713454;7228
618564;7005
631944;5673
725469;7733
91409;1038
109226;1199
716321;5537
294639;3157
685533;8118
234769;2822
186231;2189
513570;6139
91340;1085
319146;3760
219409;2615
863436;9242
349457;4098
870195;8584
773939;8691
997102;9486
570231;6211
278255;3218
117896;1348
322559;3673
