Time;Array length
3330183;9140
893747;7413
721646;7731
26146;296
510088;5181
937028;8702
972936;7288
493499;4746
115848;1167
252381;2169
936413;7675
557943;4845
2153062;9991
367206;3348
89770;733
483054;4904
914636;8209
2552490;7452
1753975;8557
1423086;8052
1765034;4507
576990;5726
18568;253
506333;4793
23279;289
299485;2917
281190;2844
1207432;5286
1066256;8999
148957;1411
983449;9033
289587;2818
232106;2261
269107;2564
696934;6453
847257;6879
471654;4559
899140;8677
2535765;8353
314094;3046
2584166;6476
365704;2992
17408;231
448716;4267
1023590;4138
1860812;2862
1777117;8212
396970;3826
359219;3534
698982;6710
547498;5346
123358;1240
883848;8649
737757;7072
92364;843
305698;2952
251767;2430
499438;4302
939349;8968
1038267;9079
75434;787
885623;8560
356488;3421
706150;6791
318737;3100
882005;8237
1046869;10072
399769;3894
121105;1213
554325;5415
359287;3491
9557;143
71816;760
338193;3254
128478;1282
726015;6555
752776;7228
736529;7005
601156;5673
807731;7733
102058;1038
120422;1199
567773;5537
327065;3157
852992;8118
291635;2822
221593;2189
629282;6139
105881;1085
392396;3760
267809;2615
966451;9242
481552;4098
969932;8584
907605;8691
978807;9486
735436;6211
440661;3218
146909;1348
378607;3673
