Time;Array length
1186474;9140
461960;7413
228898;7731
34747;296
122333;5181
680482;8702
103628;7288
55842;4746
12561;1167
24371;2169
100283;7675
52224;4845
104584;9991
37137;3348
7577;733
61713;4904
83148;8209
91818;7452
85128;8557
84104;8052
44919;4507
58709;5726
2935;253
49903;4793
2935;289
29286;2917
29286;2844
53316;5286
74069;8999
11537;1411
73250;9033
23074;2818
18978;2261
21913;2564
53725;6453
59596;6879
37751;4559
76458;8677
73932;8353
26282;3046
56729;6476
27443;2992
2184;231
927539;4267
212446;4138
89224;2862
150664;8212
36864;3826
685738;3534
61576;6710
49425;5346
10854;1240
75707;8649
62668;7072
8328;843
30447;2952
22732;2430
46967;4302
78438;8968
80691;9079
6690;787
73045;8560
29559;3421
62737;6791
27648;3100
93388;8237
88883;10072
33723;3894
10786;1213
48605;5415
33792;3491
1365;143
6553;760
31266;3254
11673;1282
60347;6555
62600;7228
64239;7005
48674;5673
69017;7733
9147;1038
10308;1199
47718;5537
27306;3157
70041;8118
37683;2822
20684;2189
52770;6139
9079;1085
33177;3760
21913;2615
81715;9242
39185;4098
77687;8584
75434;8691
84514;9486
54476;6211
28330;3218
11673;1348
31607;3673
